Date,SPY,EFA,EEM,EMB,HYG,LQD
1994-03-01,26.599957,NA,NA,NA,NA,NA
1994-03-02,26.635618,NA,NA,NA,NA,NA
1994-03-03,26.564297,NA,NA,NA,NA,NA
1994-03-04,26.635618,NA,NA,NA,NA,NA
1994-03-07,26.778231,NA,NA,NA,NA,NA
1994-03-08,26.671259,NA,NA,NA,NA,NA
1994-03-09,26.796064,NA,NA,NA,NA,NA
1994-03-10,26.582108,NA,NA,NA,NA,NA
1994-03-11,26.724756,NA,NA,NA,NA,NA
1994-03-14,26.760395,NA,NA,NA,NA,NA
1994-03-15,26.742592,NA,NA,NA,NA,NA
1994-03-16,26.956509,NA,NA,NA,NA,NA
1994-03-17,26.956509,NA,NA,NA,NA,NA
1994-03-18,26.950640,NA,NA,NA,NA,NA
1994-03-21,26.878912,NA,NA,NA,NA,NA
1994-03-22,26.950640,NA,NA,NA,NA,NA
1994-03-23,26.932713,NA,NA,NA,NA,NA
1994-03-24,26.609951,NA,NA,NA,NA,NA
1994-03-25,26.358912,NA,NA,NA,NA,NA
1994-03-28,26.394779,NA,NA,NA,NA,NA
1994-03-29,25.874756,NA,NA,NA,NA,NA
1994-03-30,25.516136,NA,NA,NA,NA,NA
1994-03-31,25.587854,NA,NA,NA,NA,NA
1994-04-04,25.193373,NA,NA,NA,NA,NA
1994-04-05,25.713371,NA,NA,NA,NA,NA
1994-04-06,25.713371,NA,NA,NA,NA,NA
1994-04-07,25.838900,NA,NA,NA,NA,NA
1994-04-08,25.641655,NA,NA,NA,NA,NA
1994-04-11,25.749241,NA,NA,NA,NA,NA
1994-04-12,25.713371,NA,NA,NA,NA,NA
1994-04-13,25.578892,NA,NA,NA,NA,NA
1994-04-14,25.587854,NA,NA,NA,NA,NA
1994-04-15,25.587854,NA,NA,NA,NA,NA
1994-04-18,25.417524,NA,NA,NA,NA,NA
1994-04-19,25.453392,NA,NA,NA,NA,NA
1994-04-20,25.426485,NA,NA,NA,NA,NA
1994-04-21,25.767178,NA,NA,NA,NA,NA
1994-04-22,25.740276,NA,NA,NA,NA,NA
1994-04-25,26.009253,NA,NA,NA,NA,NA
1994-04-26,25.982346,NA,NA,NA,NA,NA
1994-04-28,25.794077,NA,NA,NA,NA,NA
1994-04-29,25.874756,NA,NA,NA,NA,NA
1994-05-02,26.036140,NA,NA,NA,NA,NA
1994-05-03,26.009253,NA,NA,NA,NA,NA
1994-05-04,25.964434,NA,NA,NA,NA,NA
1994-05-05,25.928543,NA,NA,NA,NA,NA
1994-05-06,25.677521,NA,NA,NA,NA,NA
1994-05-09,25.453392,NA,NA,NA,NA,NA
1994-05-10,25.650620,NA,NA,NA,NA,NA
1994-05-11,25.417524,NA,NA,NA,NA,NA
1994-05-12,25.543051,NA,NA,NA,NA,NA
1994-05-13,25.543051,NA,NA,NA,NA,NA
1994-05-16,25.552006,NA,NA,NA,NA,NA
1994-05-17,25.928543,NA,NA,NA,NA,NA
1994-05-18,26.116848,NA,NA,NA,NA,NA
1994-05-19,26.242361,NA,NA,NA,NA,NA
1994-05-20,26.143726,NA,NA,NA,NA,NA
1994-05-23,26.098900,NA,NA,NA,NA,NA
1994-05-24,26.206491,NA,NA,NA,NA,NA
1994-05-25,26.278219,NA,NA,NA,NA,NA
1994-05-26,26.296158,NA,NA,NA,NA,NA
1994-05-27,26.323036,NA,NA,NA,NA,NA
1994-05-31,26.287186,NA,NA,NA,NA,NA
1994-06-01,26.403744,NA,NA,NA,NA,NA
1994-06-02,26.376846,NA,NA,NA,NA,NA
1994-06-03,26.529243,NA,NA,NA,NA,NA
1994-06-06,26.520290,NA,NA,NA,NA,NA
1994-06-07,26.484432,NA,NA,NA,NA,NA
1994-06-08,26.269257,NA,NA,NA,NA,NA
1994-06-09,26.412701,NA,NA,NA,NA,NA
1994-06-10,26.457531,NA,NA,NA,NA,NA
1994-06-13,26.493391,NA,NA,NA,NA,NA
1994-06-14,26.699600,NA,NA,NA,NA,NA
1994-06-15,26.592020,NA,NA,NA,NA,NA
1994-06-16,26.645813,NA,NA,NA,NA,NA
1994-06-17,26.497072,NA,NA,NA,NA,NA
1994-06-20,26.271452,NA,NA,NA,NA,NA
